Abegweit,1,Île-du-prince-édouard,105,108,9,5,0,0,0,0,0,0,63,84,374
Lennox Island,2,Île-du-prince-édouard,199,191,0,9,0,0,0,0,1,0,252,303,955
Elsipogtog First Nation,3,Nouveau-brunswick,1301,1253,28,16,0,0,0,0,0,0,331,404,3333
Buctouche MicMac,4,Nouveau-brunswick,48,30,0,1,0,0,0,0,0,0,19,24,122
Esgenoopetitj First Nation,5,Nouveau-brunswick,661,663,16,24,0,0,0,0,0,0,243,287,1894
Madawaska Maliseet First Nation,6,Nouveau-brunswick,78,76,0,0,0,0,0,0,0,0,111,104,369
Eel Ground,7,Nouveau-brunswick,289,296,8,7,0,0,0,0,0,0,229,234,1063
Eel River Bar First Nation,8,Nouveau-brunswick,168,181,7,8,0,0,0,0,0,0,177,201,742
Fort Folly,9,Nouveau-brunswick,11,24,0,0,0,0,0,0,0,1,45,50,131
Indian Island,10,Nouveau-brunswick,49,58,1,0,0,0,0,0,0,0,34,48,190
Kingsclear,11,Nouveau-brunswick,337,384,0,0,0,0,1,0,0,0,145,164,1031
Oromocto,12,Nouveau-brunswick,162,154,0,2,0,0,0,0,0,0,161,207,686
Pabineau,13,Nouveau-brunswick,57,45,0,2,0,0,0,0,0,0,107,100,311
Metepenagiag Mi'kmaq Nation,14,Nouveau-brunswick,221,209,13,16,0,0,0,0,0,0,93,123,675
Saint Mary's,15,Nouveau-brunswick,424,445,20,26,0,0,0,1,1,0,446,548,1911
Tobique,16,Nouveau-brunswick,753,779,4,2,0,0,0,0,1,0,384,443,2366
Woodstock,17,Nouveau-brunswick,177,113,2,2,0,0,0,0,0,0,320,433,1047
Acadia,18,Nouvelle-écosse,108,122,2,0,0,0,0,0,1,2,626,663,1524
Paqtnkek Mi'kmaw Nation,19,Nouvelle-écosse,187,217,10,18,0,0,0,0,0,0,61,80,573
Annapolis Valley,20,Nouvelle-écosse,64,53,0,0,0,0,0,0,0,0,69,104,290
Bear River,21,Nouvelle-écosse,47,63,0,0,0,0,0,0,0,0,111,117,338
Potlotek First Nation,22,Nouvelle-écosse,281,271,16,19,0,0,0,0,0,0,63,77,727
Eskasoni,23,Nouvelle-écosse,1861,1919,15,16,0,0,1,0,0,0,290,341,4443
Pictou Landing,24,Nouvelle-écosse,233,250,11,12,0,0,0,0,0,0,82,75,663
SIPEKNE'KATIK,25,Nouvelle-écosse,598,670,34,32,0,0,1,0,6,6,612,686,2645
Membertou,26,Nouvelle-écosse,458,446,19,22,0,0,0,0,1,2,279,273,1500
Millbrook,27,Nouvelle-écosse,435,437,23,13,0,1,1,1,1,0,441,475,1828
Wagmatcook,28,Nouvelle-écosse,316,310,19,23,0,0,0,0,0,0,78,106,852
Waycobah First Nation,29,Nouvelle-écosse,439,444,14,19,1,1,0,0,0,0,34,47,999
Glooscap First Nation,30,Nouvelle-écosse,30,64,0,1,0,0,0,0,0,0,137,143,375
Mushuau Innu First Nation,32,,451,481,0,1,0,0,0,0,0,0,35,44,1012
Sheshatshiu Innu First Nation,33,,729,727,9,5,0,0,0,0,0,0,64,101,1635
Qalipu Mi'kmaq First Nation,34,,0,0,0,1,0,0,0,0,7,6,12234,12499,24747
Miawpukek,47,,452,390,0,0,0,0,0,0,0,1,1087,1099,3029
Nation Huronne Wendat,50,Québec,726,776,1,3,0,0,0,0,0,0,1172,1364,4042
Listuguj Mi'gmaq Government,51,Québec,1051,1010,16,15,0,0,0,0,0,0,863,1070,4025
Micmacs of Gesgapegiag,52,Québec,362,327,8,9,0,0,0,0,0,0,362,432,1500
La Nation Micmac de Gespeg,53,Québec,0,0,0,0,0,0,0,0,0,0,381,407,788
Première Nation Malecite de Viger,54,Québec,0,0,1,0,0,0,0,0,0,0,573,617,1191
Conseil de la Première Nation Abitibiwinni,55,Québec,260,314,15,13,0,0,0,0,0,0,228,231,1061
Waswanipi,56,Québec,832,767,66,41,0,0,3,6,4,5,206,267,2197
Eastmain,57,Québec,396,377,29,30,0,0,0,0,1,1,19,26,879
Cree Nation of Chisasibi,58,Québec,2153,2147,71,60,0,0,1,0,0,0,70,102,4604
Cree Nation of Nemaska,59,Québec,356,358,30,21,0,0,0,0,0,0,12,11,788
Cree Nation of Wemindji,60,Québec,688,713,20,20,0,0,4,2,1,1,60,75,1584
The Crees of the Waskaganish First Nation,61,Québec,1113,1115,77,72,0,0,0,1,0,2,239,223,2842
Communauté anicinape de Kitcisakik,62,Québec,12,2,14,10,177,194,0,1,0,0,47,40,497
Nation Anishnabe du Lac Simon,63,Québec,871,834,15,31,4,7,4,2,0,0,183,208,2159
Timiskaming First Nation,64,Québec,301,293,3,5,0,0,1,0,1,1,699,832,2136
Eagle Village First Nation - Kipawa,65,Québec,148,140,0,0,0,0,0,0,0,0,349,361,998
Long Point First Nation,67,Québec,0,0,9,11,228,226,1,1,0,2,175,212,865
Wolf Lake,68,Québec,0,0,2,4,0,0,0,0,0,0,113,113,232
Mohawks of Kanesatake,69,Québec,645,725,8,14,0,0,1,1,0,1,519,601,2515
Mohawks of Kahnawá:ke,70,Québec,3913,4074,12,5,0,0,0,0,4,2,1398,1621,11029
Première Nation des Abénakis de Wôlinak,71,Québec,29,56,0,0,0,0,0,0,0,0,123,146,354
Odanak,72,Québec,143,153,0,0,0,0,0,0,0,0,1009,1168,2473
Kitigan Zibi Anishinabeg,73,Québec,806,800,7,15,0,0,1,1,0,0,731,902,3263
Algonquins of Barriere Lake,74,Québec,154,142,11,18,151,145,1,3,0,0,78,88,791
Cree Nation of Mistissini,75,Québec,1812,1811,60,62,0,0,1,1,7,5,112,129,4000
Montagnais du Lac St-Jean,76,Québec,1041,1010,11,14,0,0,0,0,2,0,2162,2386,6626
